Date,Open,High,Low,Close,Volume
2015-01-02,170.47254275626065,170.88554919758974,168.6553043312476,169.6878204345703,121465900
2015-01-05,168.6470660413276,168.8122661140158,166.3177160273211,166.6233367919922,169632600
2015-01-06,166.92891870896608,167.4493107905881,164.26090097427732,165.0538787841797,209151400
2015-01-07,166.37553619335011,167.44935560927416,165.9294947211136,167.11068725585938,125346700
2015-01-08,168.51490105817123,170.2908365016817,168.49838987366132,170.07606506347656,147217800
2015-01-09,170.48910371663968,170.50562750822505,168.10192629293343,168.7131805419922,158567300
2015-01-12,168.84528539651083,169.00222985064968,166.78850891492957,167.39149475097656,144396100
2015-01-13,168.60576096190292,169.72913908899594,165.62385367921945,166.9207000732422,214553300
2015-01-14,164.91349780540452,166.11122679229365,164.0214148168744,165.91297912597656,192991100
2015-01-15,166.54902209394717,166.86289849504993,164.2774861138506,164.39312744140625,176613900
2015-01-16,164.18658337639727,166.70592517642703,164.00485953482422,166.54898071289062,211879600
2015-01-20,167.1850467519091,167.44937699436866,165.34304106412313,166.90420532226562,130991100
2015-01-21,166.44163246500446,168.22582370893434,165.97906716560615,167.74673461914062,122942700
2015-01-22,168.49844457542144,170.37348554658226,167.12725957849614,170.2413330078125,174356000
2015-01-23,169.98518533689273,170.24125991747914,169.17569624213647,169.307861328125,117516800
2015-01-26,169.09314984264265,169.7952534260455,168.3827780615787,169.7043914794922,92009700
2015-01-27,167.6558608098982,168.60577072506626,166.63986834178553,167.46588134765625,134044600
2015-01-28,168.64708417164115,168.74620170511815,165.12827308965936,165.31825256347656,168514300
2015-01-29,165.51650818201227,167.1024518135914,164.1122758358799,166.8463897705078,173585400
2015-01-30,165.6734188056964,166.99503192642172,164.48395817427368,164.74827575683594,197729700
2015-02-02,165.24391853956578,166.87942090257002,163.4349478846863,166.78855895996094,163107000
2015-02-03,167.68059422272617,169.20872290623933,167.3088909927771,169.20045471191406,124212900
2015-02-04,168.44052631630873,169.6465105332436,168.10185804807884,168.55616760253906,134306700
2015-02-05,169.21701022264207,170.40647086465165,169.14267208350574,170.25778198242188,97953200
2015-02-06,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000
2015-02-09,169.1426646169671,169.86129180480972,168.6222724580705,169.0270233154297,87219000
2015-02-10,170.05955750358785,171.08380553916865,169.0683318377307,170.82774353027344,96164200
2015-02-11,170.6625317819855,171.35637961746548,170.01824270561735,170.92684936523438,91087800
2015-02-12,171.71982537678446,172.62844463006107,170.95989500311532,172.57061767578125,97545900
2015-02-13,172.69454368851316,173.33056462266381,172.43846907159076,173.281005859375,93670400
2015-02-17,172.9671141018099,173.72705713986363,172.7193202893553,173.5535888671875,76968200
2015-02-18,173.18191747029533,173.6444828107608,172.9175872163378,173.5701446533203,80652900
2015-02-19,172.9753766774431,173.80964522816615,172.83495598696246,173.44619750976562,91462500
2015-02-20,173.0331479647899,174.5612765993815,172.41363840005616,174.4869384765625,140896400
2015-02-23,174.2391769497112,174.4622039794922,173.85920543986055,174.4622039794922,74411100
2015-02-24,174.38781284109243,175.15601127508992,174.0904477382474,174.957763671875,72472300
2015-02-25,174.83395297110542,175.31304212871333,174.47050515471588,174.80917358398438,73061700
2015-02-26,174.71831773686202,174.8752622634215,173.99967767335087,174.60267639160156,72697900
2015-02-27,174.5034889950828,174.7678191855219,173.9583300342273,174.0078887939453,108076000
2015-03-02,174.1069946946203,175.16429017790526,174.0574359382095,175.10647583007812,87491400
2015-03-03,174.67695747104125,175.15604648882834,173.52879998833052,174.38784790039062,110325800
2015-03-04,173.79316120112242,173.86751196341103,172.68630660836746,173.65274047851562,114497200
2015-03-05,173.97480383004958,174.12349268120684,173.33878307840953,173.8426513671875,76873000
2015-03-06,172.98366399574914,173.41319434208773,171.067320134475,171.39772033691406,188128000
2015-03-09,171.59592352318504,172.46322698067183,171.43897905633878,172.10804748535156,89818900
2015-03-10,170.74514307546252,170.82773680839537,169.27482842335175,169.31613159179688,157121300
2015-03-11,169.57222253293673,169.74569082843064,168.83707138338562,168.919677734375,110145700
2015-03-12,169.5474934308924,171.13343752934526,169.49793464718502,171.06736755371094,93993500
2015-03-13,170.79470371277253,171.7528691698583,168.9857333090318,170.01824951171875,162410900
2015-03-16,170.74513950639326,172.380641590183,170.0430234693745,172.28977966308594,136099200
2015-03-17,171.55468286868114,172.15766897326645,170.96820795318064,171.7777099609375,94510400
2015-03-18,171.3067861389569,174.51171968750896,170.67075278336236,173.8426513671875,228808500
2015-03-19,173.4296846377479,173.85094670509045,172.6614860397028,173.04971313476562,117917300
2015-03-20,173.9964219067773,175.08332706439776,173.813886863184,174.57720947265625,177715100
2015-03-23,174.58551785943564,175.15801303387462,174.23704528808594,174.23704528808594,71784500
2015-03-24,174.1125244316846,174.56884923633177,173.19155706085837,173.2579345703125,77805300
2015-03-25,173.46543463004932,173.6977496835964,170.6776413272634,170.7191162109375,159521700
2015-03-26,170.05537123840853,171.2252389858429,169.3584133966899,170.3125762939453,153067200
2015-03-27,170.1963970468826,170.8767445914697,170.00555689564965,170.7025146484375,118939000
2015-03-30,171.7313419103126,173.08375727229875,171.71475702185867,172.78506469726562,96180400
2015-03-31,171.96361589192352,172.66057350740502,171.2168909627428,171.27496337890625,126768700
2015-04-01,171.24179131979093,171.26668130825644,169.6819511881236,170.66929626464844,137303600
2015-04-02,170.60298009744596,171.73137306782849,170.42044500957363,171.28334045410156,86900900
2015-04-06,170.39556175846903,172.9510404296362,170.26281932039745,172.43663024902344,114368200
2015-04-07,172.46148275849654,173.20820786869345,171.94707268970402,171.98025512695312,81236300
2015-04-08,172.2042701655457,173.0007752267654,171.81431007882907,172.56103515625,89351900
2015-04-09,172.3950959634002,173.5566711080269,171.90557591389464,173.32435607910156,85548900
2015-04-10,173.57328798988937,174.3117206984161,173.37416803447064,174.27023315429688,72722900
2015-04-13,174.1291290766868,174.75970915796123,173.4321841386416,173.48196411132812,74436600
2015-04-14,173.28288096153133,173.99642359516923,172.6606058505757,173.8138885498047,75099900
2015-04-15,174.27851832960081,175.09991337221425,174.195543250851,174.5937957763672,99529300
2015-04-16,174.2618656491396,175.05007800701156,174.06273311927293,174.54396057128906,68934900
