Date,Open,High,Low,Close,Volume
2015-01-02,24.648437592390618,24.659502293956603,23.754464067072234,24.19260025024414,212818400
2015-01-05,23.962471339063004,24.042132473375155,23.325183952802462,23.511058807373047,257142000
2015-01-06,23.575231527032173,23.772171094232995,23.152584838795235,23.513273239135742,263188400
2015-01-07,23.721270657271436,23.942551173433433,23.610630399190438,23.842975616455078,160423600
2015-01-08,24.170475495010283,24.816614303203295,24.05319538405384,24.75908088684082,237458000
2015-01-09,24.931688873245548,25.060032047407006,24.38733871083074,24.78564453125,214798000
2015-01-12,24.91618759295084,24.922825738800306,24.075322583368106,24.174898147583008,198603200
2015-01-13,24.65729280767819,24.960447781897706,24.09966654067397,24.389543533325195,268367600
2015-01-14,24.128428577931782,24.44928466294763,24.008936892193326,24.296602249145508,195826400
2015-01-15,24.340856236337245,24.354132526775988,23.601780139150986,23.637184143066406,240056000
2015-01-16,23.68366137504563,23.805366375341244,23.278717488502334,23.453529357910156,314053200
2015-01-20,23.8629006107402,24.1129487851088,23.566385398242883,24.057628631591797,199599600
2015-01-21,24.10851943514098,24.57542161180635,23.958048567472943,24.241289138793945,194303600
2015-01-22,24.398392763814055,24.88742255363768,24.278901069867082,24.871932983398438,215185600
2015-01-23,24.849805728333372,25.17066184134601,24.67941876430255,25.000276565551758,185859200
2015-01-26,25.168453931002503,25.305648505097142,24.960451323601063,25.02683448791504,222460000
2015-01-27,24.8763564222506,24.88963440186182,24.126215571319666,24.150556564331055,382274800
2015-01-28,26.029228465091716,26.13765714169229,25.515857696533203,25.515857696533203,585908400
2015-01-29,25.739365812368437,26.37444190221186,25.571192041271978,26.310270309448242,337745600
2015-01-30,26.19961358023362,26.553662070188867,25.856628103199135,25.92522621154785,334982000
2015-02-02,26.122175426924652,26.37000861770944,25.686252376114563,26.250516891479492,250956400
2015-02-03,26.221745704792397,26.35230042157659,26.0248061463723,26.25493812561035,207662800
2015-02-04,26.221745794516334,26.666520183230848,26.179701948787283,26.456302642822266,280598800
2015-02-05,26.662910718347398,26.709564529534767,26.491852958626215,26.645139694213867,168984800
2015-02-06,26.662909949721197,26.714006091744032,26.314128399521028,26.42076301574707,174826400
2015-02-09,26.336338575791345,26.622915539684453,26.309679504659737,26.59625816345215,155559200
2015-02-10,26.696237174745892,27.136102698827692,26.694016855789393,27.107221603393555,248034000
2015-02-11,27.273828015082834,27.75145914200605,27.213847220027088,27.742572784423828,294247200
2015-02-12,28.004714549879026,28.320174313577628,27.895859634991865,28.093576431274414,297898000
2015-02-13,28.275741890345774,28.275741890345774,27.913631723299513,28.231311798095703,217088800
2015-02-17,28.322400751240114,28.63119623716081,28.19577309373441,28.397933959960938,252609600
2015-02-18,28.353501091632044,28.608978410609364,28.313513322619073,28.59564971923828,179566800
2015-02-19,28.54232985737203,28.664515170633745,28.50900813093667,28.53566551208496,149449600
2015-02-20,28.573428232665083,28.768924713134766,28.446802295850947,28.768924713134766,195793600
2015-02-23,28.88444919649405,29.546466827392578,28.80447366197079,29.546466827392578,283896400
2015-02-24,29.5331371485924,29.679759521946426,29.139923834524474,29.362077713012695,276912400
2015-02-25,29.22656176210634,29.235449814940566,28.469016273438623,28.611194610595703,298846800
2015-02-26,28.61119665484146,29.07327713106697,28.126902824541162,28.973308563232422,365150000
2015-02-27,28.88000304082967,29.00663237357377,28.4890134507584,28.537887573242188,248059200
2015-03-02,28.713386617938777,28.942204824251785,28.502341127333437,28.677841186523438,192386800
2015-03-03,28.64896710108417,28.773372736921615,28.455690912023037,28.73782730102539,151265200
2015-03-04,28.680069276765426,28.782258170449772,28.506789509388113,28.555660247802734,126665200
2015-03-05,28.564543404185695,28.602309153184912,27.93806959383036,28.082469940185547,226068400
2015-03-06,28.524561317357314,28.740050885995174,28.04915376996121,28.124685287475586,291368400
